date,store_id,account,subaccount,amount,fv_type,di_type
2024-09-01,1,人件費,店舗スタッフ,266907,fixed,direct
2024-09-01,1,家賃,賃料,198777,fixed,direct
2024-09-01,2,人件費,店舗スタッフ,343229,fixed,direct
2024-09-01,2,家賃,賃料,231745,fixed,direct
2024-09-01,3,人件費,店舗スタッフ,358464,fixed,direct
2024-09-01,3,家賃,賃料,203624,fixed,direct
2024-10-01,1,人件費,店舗スタッフ,273321,fixed,direct
2024-10-01,1,家賃,賃料,190488,fixed,direct
2024-10-01,2,人件費,店舗スタッフ,272574,fixed,direct
2024-10-01,2,家賃,賃料,185240,fixed,direct
2024-10-01,3,人件費,店舗スタッフ,293221,fixed,direct
2024-10-01,3,家賃,賃料,190478,fixed,direct
2024-11-01,1,人件費,店舗スタッフ,378055,fixed,direct
2024-11-01,1,家賃,賃料,235645,fixed,direct
2024-11-01,2,人件費,店舗スタッフ,360698,fixed,direct
2024-11-01,2,家賃,賃料,199262,fixed,direct
2024-11-01,3,人件費,店舗スタッフ,368831,fixed,direct
2024-11-01,3,家賃,賃料,232796,fixed,direct
2024-12-01,1,人件費,店舗スタッフ,254432,fixed,direct
2024-12-01,1,家賃,賃料,244291,fixed,direct
2024-12-01,2,人件費,店舗スタッフ,329104,fixed,direct
2024-12-01,2,家賃,賃料,239399,fixed,direct
2024-12-01,3,人件費,店舗スタッフ,377600,fixed,direct
2024-12-01,3,家賃,賃料,259714,fixed,direct
2025-01-01,1,人件費,店舗スタッフ,300428,fixed,direct
2025-01-01,1,家賃,賃料,180302,fixed,direct
2025-01-01,2,人件費,店舗スタッフ,332558,fixed,direct
2025-01-01,2,家賃,賃料,180055,fixed,direct
2025-01-01,3,人件費,店舗スタッフ,361317,fixed,direct
2025-01-01,3,家賃,賃料,188717,fixed,direct
2025-02-01,1,人件費,店舗スタッフ,377449,fixed,direct
2025-02-01,1,家賃,賃料,208699,fixed,direct
2025-02-01,2,人件費,店舗スタッフ,323686,fixed,direct
2025-02-01,2,家賃,賃料,247661,fixed,direct
2025-02-01,3,人件費,店舗スタッフ,294247,fixed,direct
2025-02-01,3,家賃,賃料,196748,fixed,direct
2025-03-01,1,人件費,店舗スタッフ,355113,fixed,direct
2025-03-01,1,家賃,賃料,184621,fixed,direct
2025-03-01,2,人件費,店舗スタッフ,265034,fixed,direct
2025-03-01,2,家賃,賃料,185126,fixed,direct
2025-03-01,3,人件費,店舗スタッフ,255122,fixed,direct
2025-03-01,3,家賃,賃料,198030,fixed,direct
2025-04-01,1,人件費,店舗スタッフ,332838,fixed,direct
2025-04-01,1,家賃,賃料,235658,fixed,direct
2025-04-01,2,人件費,店舗スタッフ,288638,fixed,direct
2025-04-01,2,家賃,賃料,247067,fixed,direct
2025-04-01,3,人件費,店舗スタッフ,356476,fixed,direct
2025-04-01,3,家賃,賃料,214674,fixed,direct
2025-05-01,1,人件費,店舗スタッフ,285854,fixed,direct
2025-05-01,1,家賃,賃料,226271,fixed,direct
2025-05-01,2,人件費,店舗スタッフ,323688,fixed,direct
2025-05-01,2,家賃,賃料,218518,fixed,direct
2025-05-01,3,人件費,店舗スタッフ,361076,fixed,direct
2025-05-01,3,家賃,賃料,190267,fixed,direct
2025-06-01,1,人件費,店舗スタッフ,340825,fixed,direct
2025-06-01,1,家賃,賃料,181062,fixed,direct
2025-06-01,2,人件費,店舗スタッフ,366664,fixed,direct
2025-06-01,2,家賃,賃料,230448,fixed,direct
2025-06-01,3,人件費,店舗スタッフ,345462,fixed,direct
2025-06-01,3,家賃,賃料,186229,fixed,direct
2025-07-01,1,人件費,店舗スタッフ,306793,fixed,direct
2025-07-01,1,家賃,賃料,227915,fixed,direct
2025-07-01,2,人件費,店舗スタッフ,254632,fixed,direct
2025-07-01,2,家賃,賃料,183596,fixed,direct
2025-07-01,3,人件費,店舗スタッフ,359779,fixed,direct
2025-07-01,3,家賃,賃料,186168,fixed,direct
2025-08-01,1,人件費,店舗スタッフ,358099,fixed,direct
2025-08-01,1,家賃,賃料,187561,fixed,direct
2025-08-01,2,人件費,店舗スタッフ,323794,fixed,direct
2025-08-01,2,家賃,賃料,206734,fixed,direct
2025-08-01,3,人件費,店舗スタッフ,256371,fixed,direct
2025-08-01,3,家賃,賃料,206069,fixed,direct
