date,account,amount,allocation_basis
2024-09-01,本社総務費,810977,sales
2024-09-01,本社販促費,212910,sales
2024-10-01,本社総務費,681264,sales
2024-10-01,本社販促費,223275,sales
2024-11-01,本社総務費,672274,sales
2024-11-01,本社販促費,300776,sales
2024-12-01,本社総務費,791076,sales
2024-12-01,本社販促費,394053,sales
2025-01-01,本社総務費,785625,sales
2025-01-01,本社販促費,248447,sales
2025-02-01,本社総務費,675703,sales
2025-02-01,本社販促費,276090,sales
2025-03-01,本社総務費,879404,sales
2025-03-01,本社販促費,312581,sales
2025-04-01,本社総務費,865956,sales
2025-04-01,本社販促費,359096,sales
2025-05-01,本社総務費,789728,sales
2025-05-01,本社販促費,316148,sales
2025-06-01,本社総務費,716421,sales
2025-06-01,本社販促費,201605,sales
2025-07-01,本社総務費,672303,sales
2025-07-01,本社販促費,358211,sales
2025-08-01,本社総務費,787210,sales
2025-08-01,本社販促費,276125,sales
