date,store_id,store_name,product_id,product_category,channel,qty,unit_price,unit_cost,discount
2024-09-01,1,福岡本店,A,食品,店頭,152,1475.24,913.92,100
2024-09-01,1,福岡本店,B,食品,店頭,171,1210.05,721.22,100
2024-09-01,1,福岡本店,C,雑貨,卸,51,906.29,501.77,0
2024-09-01,2,久留米店,A,食品,EC,107,1382.44,925.66,0
2024-09-01,2,久留米店,B,食品,店頭,64,1252.76,695.26,0
2024-09-01,2,久留米店,C,雑貨,店頭,113,930.63,498.43,100
2024-09-01,3,佐賀店,A,食品,EC,67,1472.99,925.58,0
2024-09-01,3,佐賀店,B,食品,店頭,160,1234.16,733.2,200
2024-09-01,3,佐賀店,C,雑貨,店頭,130,922.21,481.69,0
2024-10-01,1,福岡本店,A,食品,店頭,155,1479.23,901.8,200
2024-10-01,1,福岡本店,B,食品,店頭,63,1167.34,724.96,0
2024-10-01,1,福岡本店,C,雑貨,店頭,89,912.78,509.89,0
2024-10-01,2,久留米店,A,食品,店頭,173,1457.11,871.71,0
2024-10-01,2,久留米店,B,食品,EC,58,1175.63,712.85,0
2024-10-01,2,久留米店,C,雑貨,卸,130,925.13,510.17,100
2024-10-01,3,佐賀店,A,食品,EC,90,1459.66,896.98,0
2024-10-01,3,佐賀店,B,食品,店頭,86,1229.25,728.48,200
2024-10-01,3,佐賀店,C,雑貨,店頭,150,874.79,511.76,0
2024-11-01,1,福岡本店,A,食品,卸,64,1493.23,873.93,0
2024-11-01,1,福岡本店,B,食品,EC,101,1264.59,712.19,0
2024-11-01,1,福岡本店,C,雑貨,店頭,192,878.69,511.16,0
2024-11-01,2,久留米店,A,食品,店頭,135,1513.19,924.21,0
2024-11-01,2,久留米店,B,食品,店頭,77,1180.93,710.78,200
2024-11-01,2,久留米店,C,雑貨,EC,141,919.55,496.16,0
2024-11-01,3,佐賀店,A,食品,店頭,170,1513.33,907.05,0
2024-11-01,3,佐賀店,B,食品,店頭,186,1270.02,696.78,0
2024-11-01,3,佐賀店,C,雑貨,店頭,108,905.8,469.67,100
2024-12-01,1,福岡本店,A,食品,店頭,101,1536.8,871.53,100
2024-12-01,1,福岡本店,B,食品,EC,130,1184.1,698.23,0
2024-12-01,1,福岡本店,C,雑貨,店頭,175,899.06,482.47,300
2024-12-01,2,久留米店,A,食品,EC,117,1490.36,881.39,0
2024-12-01,2,久留米店,B,食品,店頭,118,1250.59,729.24,0
2024-12-01,2,久留米店,C,雑貨,卸,146,900.76,482.04,100
2024-12-01,3,佐賀店,A,食品,店頭,196,1539.94,916.35,0
2024-12-01,3,佐賀店,B,食品,EC,177,1244.96,701.38,100
2024-12-01,3,佐賀店,C,雑貨,店頭,91,921.96,481.54,200
2025-01-01,1,福岡本店,A,食品,店頭,109,1502.83,913.54,200
2025-01-01,1,福岡本店,B,食品,店頭,148,1229.38,709.91,200
2025-01-01,1,福岡本店,C,雑貨,店頭,165,906.11,512.71,0
2025-01-01,2,久留米店,A,食品,卸,148,1493.57,847.77,0
2025-01-01,2,久留米店,B,食品,EC,117,1172.96,676.26,100
2025-01-01,2,久留米店,C,雑貨,店頭,184,874.08,516.57,0
2025-01-01,3,佐賀店,A,食品,店頭,168,1524.28,859.55,300
2025-01-01,3,佐賀店,B,食品,店頭,57,1243.54,711.3,0
2025-01-01,3,佐賀店,C,雑貨,店頭,110,975.17,499.53,100
2025-02-01,1,福岡本店,A,食品,卸,95,1489.94,919.28,0
2025-02-01,1,福岡本店,B,食品,卸,95,1183.71,716.32,0
2025-02-01,1,福岡本店,C,雑貨,EC,116,905.78,481.31,200
2025-02-01,2,久留米店,A,食品,店頭,153,1448.35,937.52,0
2025-02-01,2,久留米店,B,食品,店頭,66,1216.19,737.36,0
2025-02-01,2,久留米店,C,雑貨,EC,99,913.91,557.79,100
2025-02-01,3,佐賀店,A,食品,EC,193,1503.08,888.95,0
2025-02-01,3,佐賀店,B,食品,店頭,100,1283.33,660.79,0
2025-02-01,3,佐賀店,C,雑貨,EC,135,909.57,471.8,0
2025-03-01,1,福岡本店,A,食品,店頭,109,1524.73,865.69,0
2025-03-01,1,福岡本店,B,食品,店頭,165,1259.9,684.48,0
2025-03-01,1,福岡本店,C,雑貨,店頭,163,845.32,502.8,100
2025-03-01,2,久留米店,A,食品,店頭,141,1461.41,922.68,0
2025-03-01,2,久留米店,B,食品,店頭,176,1172.21,734.89,0
2025-03-01,2,久留米店,C,雑貨,卸,83,891.38,496.93,0
2025-03-01,3,佐賀店,A,食品,店頭,178,1595.5,927.88,0
2025-03-01,3,佐賀店,B,食品,店頭,193,1175.52,694.47,0
2025-03-01,3,佐賀店,C,雑貨,店頭,193,899.48,486.01,0
2025-04-01,1,福岡本店,A,食品,店頭,150,1573.46,861.39,100
2025-04-01,1,福岡本店,B,食品,EC,187,1202.11,749.31,200
2025-04-01,1,福岡本店,C,雑貨,卸,53,915.33,502.22,200
2025-04-01,2,久留米店,A,食品,店頭,133,1414.62,934.57,100
2025-04-01,2,久留米店,B,食品,店頭,150,1240.93,709.38,100
2025-04-01,2,久留米店,C,雑貨,EC,78,886.87,503.11,0
2025-04-01,3,佐賀店,A,食品,EC,139,1444.28,877.73,0
2025-04-01,3,佐賀店,B,食品,EC,163,1232.39,706.45,100
2025-04-01,3,佐賀店,C,雑貨,EC,187,945.31,471.88,0
2025-05-01,1,福岡本店,A,食品,卸,85,1557.49,884.03,0
2025-05-01,1,福岡本店,B,食品,店頭,86,1227.52,676.67,100
2025-05-01,1,福岡本店,C,雑貨,店頭,79,900.33,513.96,200
2025-05-01,2,久留米店,A,食品,店頭,68,1514.59,896.49,300
2025-05-01,2,久留米店,B,食品,卸,160,1240.45,745.01,0
2025-05-01,2,久留米店,C,雑貨,店頭,193,881.12,499.87,0
2025-05-01,3,佐賀店,A,食品,店頭,124,1527.62,936.66,0
2025-05-01,3,佐賀店,B,食品,店頭,190,1181.8,671.51,200
2025-05-01,3,佐賀店,C,雑貨,卸,78,860.9,478.89,200
2025-06-01,1,福岡本店,A,食品,EC,94,1470.11,936.72,0
2025-06-01,1,福岡本店,B,食品,店頭,140,1171.5,675.39,0
2025-06-01,1,福岡本店,C,雑貨,店頭,175,908.71,487.59,100
2025-06-01,2,久留米店,A,食品,EC,162,1502.58,877.21,0
2025-06-01,2,久留米店,B,食品,卸,110,1190.37,697.82,200
2025-06-01,2,久留米店,C,雑貨,EC,196,900.66,507.47,100
2025-06-01,3,佐賀店,A,食品,店頭,50,1554.02,949.03,200
2025-06-01,3,佐賀店,B,食品,店頭,61,1168.48,695.07,0
2025-06-01,3,佐賀店,C,雑貨,店頭,139,863.48,491.62,0
2025-07-01,1,福岡本店,A,食品,店頭,194,1470.96,856.78,100
2025-07-01,1,福岡本店,B,食品,卸,190,1152.47,738.46,200
2025-07-01,1,福岡本店,C,雑貨,店頭,158,891.64,482.45,100
2025-07-01,2,久留米店,A,食品,EC,60,1422.91,936.55,300
2025-07-01,2,久留米店,B,食品,卸,147,1212.33,740.14,100
2025-07-01,2,久留米店,C,雑貨,店頭,72,887.85,509.34,0
2025-07-01,3,佐賀店,A,食品,EC,100,1460.76,881.88,200
2025-07-01,3,佐賀店,B,食品,店頭,83,1170.2,693.62,100
2025-07-01,3,佐賀店,C,雑貨,卸,167,886.02,513.39,200
2025-08-01,1,福岡本店,A,食品,EC,106,1474.65,968.56,0
2025-08-01,1,福岡本店,B,食品,店頭,191,1165.26,714.41,0
2025-08-01,1,福岡本店,C,雑貨,店頭,87,943.49,519.11,0
2025-08-01,2,久留米店,A,食品,店頭,101,1408.68,952.96,200
2025-08-01,2,久留米店,B,食品,卸,155,1138.68,698.83,0
2025-08-01,2,久留米店,C,雑貨,店頭,102,869.0,490.97,0
2025-08-01,3,佐賀店,A,食品,卸,160,1450.44,913.17,0
2025-08-01,3,佐賀店,B,食品,EC,142,1202.74,707.41,0
2025-08-01,3,佐賀店,C,雑貨,店頭,141,893.63,498.85,0
